Cycle,Acc/Rej,Potential,BasicP,BendingP,DihedralP,Rg,Re,randomProb,boltzman
26400,false,-492.286595,-172.514352,-170.819824,-148.952419,5.724470,13.015753,0.144166,0.000000
26500,false,-487.685535,-171.677528,-169.315788,-146.692218,5.742701,13.325110,0.795919,0.115771
26600,false,-488.088001,-171.743273,-169.396688,-146.948040,5.758535,13.734566,0.439427,0.000000
26700,false,-486.920619,-169.027951,-170.261541,-147.631126,5.881255,13.874847,0.068288,0.011639
26800,false,-486.680267,-167.123297,-170.418840,-149.138130,5.893044,13.133690,0.491076,0.000000
26900,false,-494.796055,-174.648762,-169.812160,-150.335133,5.813098,12.937895,0.502565,0.000016
27000,false,-493.166227,-172.675040,-169.563317,-150.927870,5.820313,13.918205,0.651707,0.000000
27100,true,-492.997184,-175.406811,-170.344738,-147.245636,5.775343,14.257309,0.555554,1.000000
27200,false,-490.618253,-173.045732,-169.558937,-148.013584,5.731421,13.363816,0.958372,0.000000
27300,false,-492.627232,-173.844632,-168.685602,-150.096998,5.718659,13.856469,0.985140,0.000000
27400,true,-497.667735,-178.605960,-168.621697,-150.440078,5.709069,13.095418,0.288677,1.000000
27500,false,-493.313320,-174.935116,-169.013059,-149.365145,5.749676,13.243542,0.039591,0.000000
27600,false,-493.200594,-173.971862,-170.064917,-149.163815,5.793736,12.676499,0.958289,0.274095
27700,false,-491.165592,-172.351387,-170.240516,-148.573689,5.748238,12.839332,0.838260,0.000000
27800,false,-485.016801,-166.592707,-167.728696,-150.695398,5.740760,13.432151,0.259842,0.000029
