Cycle,Acc/Rej,Potential,BasicP,BendingP,DihedralP,Rg,Re,randomProb,boltzman
25900,false,-612.688178,-304.141470,-168.904648,-139.642060,5.616704,10.236515,0.063511,0.029753
26000,true,-610.996745,-304.268468,-167.088579,-139.639698,5.580208,9.483294,0.070001,0.774439
26100,false,-611.650112,-304.413387,-167.853437,-139.383287,5.572147,10.127179,0.651389,0.000521
26200,false,-610.241551,-301.870216,-167.955706,-140.415629,5.627231,10.292646,0.950810,0.001722
26300,false,-610.341483,-308.318844,-164.224560,-137.798080,5.569049,8.488624,0.822284,0.008811
26400,true,-606.421282,-301.878618,-165.440519,-139.102144,5.596146,8.785059,0.001462,0.004153
26500,false,-612.158610,-308.321920,-165.227007,-138.609683,5.582646,8.450307,0.779351,0.048866
26600,false,-609.491843,-303.933690,-166.373815,-139.184338,5.608008,8.130442,0.128261,0.000000
26700,false,-612.509270,-307.549497,-166.703793,-138.255981,5.608069,8.568869,0.479173,0.000001
26800,false,-609.883299,-305.781415,-166.217368,-137.884516,5.613079,8.732410,0.599751,0.001333
26900,true,-607.551394,-302.171805,-166.598766,-138.780824,5.585784,9.133695,0.272232,3.578703
27000,false,-611.021751,-304.790887,-166.760727,-139.470138,5.591208,10.043585,0.720387,0.000000
27100,false,-613.176269,-307.007048,-167.467947,-138.701274,5.627044,10.186273,0.984793,0.000000
27200,false,-613.334915,-305.640809,-168.789464,-138.904642,5.626576,11.074459,0.695622,0.018658
27300,false,-613.719766,-305.330832,-169.185170,-139.203764,5.643067,11.082409,0.942179,0.000000
27400,false,-615.338511,-309.661413,-168.084065,-137.593033,5.615213,10.300087,0.188390,0.000002
27500,false,-615.492688,-309.795378,-167.905619,-137.791691,5.622805,10.490525,0.433473,0.062720
27600,true,-613.425667,-309.333538,-166.810184,-137.281946,5.540114,9.323815,0.067005,0.973972
27700,true,-607.416371,-301.354871,-168.763301,-137.298199,5.626312,9.893254,0.117607,0.444977
27800,false,-603.351634,-296.996365,-168.598652,-137.756617,5.665084,10.928887,0.844459,0.000001
